rating,num_reviews,name,tags,url,ingredients,directions
,,Dundee,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1395,"[(u'1', u'Gin', 'oz.'), (u'1/2', u'Drambuie\xae', 'oz.'), (u'1/2', u'Scotch Whisky', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.')]",Pour all ingredients into an old fashioned glass with ice.
,,Duke's A Champ,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2432,"[(u'2', u'Vodka', 'oz.'), (u'1/2', u'Blackberry Brandy', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Duck Fart,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=117,"[(u'1/2', u'Coffee Liqueur', 'oz.'), (u'1/2', u'Irish Cream', 'oz.'), (u'1/2', u'Whiskey', 'oz.')]",Pour in layers the coffee liqueur then the Irish cream and finally the whiskey.
,,Dubonnet Manhattan,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1702,"[(u'2', u'Whiskey', 'oz.'), (u'1', u'Dubonnet', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Duchess,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=393,"[(u'1 1/2', u'Anisette', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (u'1/2', u'Vermouth (Sweet)', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Dublin Driver,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1700,"[(u'2', u'Irish Mist\xae', 'oz.'), (None, u'  Orange Juice', None)]",Pour Irish Mist into a glass with ice. Fill it with orange juice.
,,Du Barry Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=387,"[(u'1 1/2', u'Gin', 'oz.'), (u'3/4', u'Vermouth (Dry)', 'oz.'), (None, u'Splash of  Anisette', None), (None, u'Dash of  Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Dubonnet Fizz,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2564,"[(u'2', u'Dubonnet', 'oz.'), (u'1/4', u'Cherry Brandy', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'  Club Soda / Carbonated Water', None)]","Pour Dubonnet, cherry brandy, orange juice and lemon juice into a glass with ice. Fill it with club soda."
,,Drunken Superman,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1271,"[(u'2', u'Tequila', 'oz.'), (u'1 1/2', u'Triple Sec', 'oz.'), (u'2', u'Sweet & Sour Mix', 'oz.'), (u'1', u'Lime Juice', 'oz.'), (u'1/2', u'Rum (151-Proof)', 'oz.')]",Pour all ingredients except the 151-proof rum into a shaker with ice. Shake and strain into a margarita glass with ice. Add 151-proof rum on top.
,,Dubonnet Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1701,"[(u'2', u'Gin', 'oz.'), (u'1', u'Dubonnet', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Dreamsicle,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1697,"[(u'1', u'Amaretto', 'oz.'), (u'1/2', u'Vanilla Schnapps', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (None, u'  Orange Juice', None), (None, u'  Cream / Half & Half', None)]","Pour amaretto, vanilla schnapps and triple sec into a glass with ice. Fill it with equal parts of orange juice and cream."
,,Dreamsicle Martini,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1698,"[(u'1 1/2', u'Vanilla Vodka', 'oz.'), (u'3/4', u'Amaretto', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (None, u'Splash of  Orange Juice', None), (None, u'Splash of  Cream / Half & Half', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Dragonfly,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2207,"[(u'2', u'Gin', 'oz.'), (None, u'  Ginger Ale', None)]",Pour gin into a glass with ice. Fill it with ginger ale.
,,Dream Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=390,"[(u'1 1/2', u'Brandy', 'oz.'), (u'3/4', u'Triple Sec', 'oz.'), (None, u'Splash of  Anisette', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Droog's Date Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2287,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/4', u'Cherry Brandy', 'oz.'), (u'1/4', u'Cointreau\xae Orange Liqueur', 'oz.'), (u'1/2', u'Lime Juice', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
